Wall time,Step,Value
1682966691.4868147,450,147.0
1682966693.5691543,451,125.0
1682966696.0177665,452,147.0
1682966698.549696,453,152.0
1682966700.5651698,454,121.0
1682966703.1641665,455,156.0
1682966706.961806,456,227.0
1682966710.642929,457,219.0
1682966716.8894393,458,375.0
1682966719.438005,459,153.0
1682966722.7527525,460,199.0
1682966742.941519,461,154.0
1682966746.6063545,462,220.0
1682966749.8371754,463,194.0
1682966752.785782,464,173.0
1682966755.533945,465,165.0
1682966758.0831082,466,153.0
1682966760.315052,467,134.0
1682966763.31339,468,180.0
1682966765.695446,469,143.0
1682966768.8603506,470,190.0
1682966773.7076418,471,291.0
1682966775.8893998,472,131.0
1682966778.9546967,473,184.0
1682966782.7360213,474,227.0
1682966785.6342988,475,174.0
1682966788.1490538,476,151.0
1682966795.3292606,477,430.0
1682966797.794088,478,148.0
1682966800.559693,479,166.0
1682966806.0558834,480,329.0
1682966826.1281059,481,372.0
1682966828.9267278,482,167.0
1682966831.7085104,483,167.0
1682966834.7569885,484,183.0
1682966838.3378873,485,213.0
1682966840.5533247,486,132.0
1682966842.9016225,487,139.0
1682966845.3506098,488,144.0
1682966849.6152604,489,256.0
1682966852.496679,490,169.0
1682966857.177702,491,280.0
1682966859.8924494,492,162.0
1682966867.0051737,493,425.0
1682966869.8200357,494,169.0
1682966873.4350393,495,217.0
1682966877.965579,496,270.0
1682966881.7299252,497,224.0
1682966890.3585956,498,515.0
1682966894.4732454,499,239.0
1682966896.921878,500,145.0
1682966922.5575838,501,176.0
1682966925.3560882,502,167.0
1682966929.9694877,503,277.0
1682966932.3355188,504,142.0
1682966934.8674524,505,152.0
1682966937.7991295,506,175.0
1682966940.997337,507,192.0
1682966943.5792358,508,154.0
1682966946.27797,509,160.0
1682966950.1248727,510,231.0
1682966952.8405354,511,161.0
1682966957.9045928,512,303.0
1682966962.1021988,513,251.0
1682966965.5669382,514,207.0
1682966969.764575,515,252.0
1682966974.162036,516,264.0
1682966977.877897,517,222.0
1682966981.074515,518,190.0
1682966984.1232052,519,180.0
1682966986.7050314,520,154.0
1682967002.5125701,521,177.0
1682967005.7789774,522,195.0
1682967008.4429388,523,155.0
1682967012.0413911,524,216.0
1682967014.7224162,525,160.0
1682967019.3371441,526,274.0
1682967023.7853515,527,243.0
1682967026.6989698,528,170.0
1682967029.1143878,529,143.0
1682967031.6962004,530,150.0
1682967035.7442572,531,225.0
1682967038.442744,532,161.0
1682967042.5738497,533,247.0
1682967045.7720454,534,191.0
1682967048.2702205,535,150.0
1682967053.0011623,536,277.0
1682967056.4488592,537,205.0
1682967059.7309494,538,191.0
1682967062.795722,539,181.0
1682967068.775844,540,306.0
1682967092.5124178,541,277.0
1682967096.5616689,542,174.0
1682967100.3581705,543,205.0
1682967103.5397289,544,184.0
1682967109.9865408,545,376.0
1682967115.0331821,546,279.0
1682967120.3636396,547,318.0
1682967123.4952295,548,188.0
1682967123.7951324,549,18.0
1682967126.3102465,550,151.0
1682967129.3762343,551,184.0
1682967131.6573079,552,137.0
1682967133.9236429,553,135.0
1682967141.7371275,554,428.0
1682967149.418167,555,427.0
1682967153.711549,556,247.0
1682967156.6776805,557,161.0
1682967161.557237,558,290.0
1682967164.2568412,559,158.0
1682967168.187383,560,215.0
1682967195.7380445,561,473.0
1682967200.2208564,562,258.0
1682967206.8486223,563,357.0
1682967209.93003,564,185.0
1682967215.47671,565,332.0
1682967219.5412621,566,244.0
1682967222.7729883,567,193.0
1682967227.0372698,568,256.0
1682967232.80072,569,346.0
1682967236.7651663,570,237.0
1682967239.8965824,571,188.0
1682967245.793573,572,354.0
1682967248.6251876,573,170.0
1682967251.4569318,574,160.0
1682967259.6690063,575,493.0
1682967265.6156693,576,357.0
1682967268.1142771,577,150.0
1682967272.611766,578,270.0
1682967276.0265186,579,205.0
1682967278.8749201,580,170.0
1682967294.1996765,581,272.0
1682967296.9481454,582,165.0
1682967301.2958553,583,254.0
1682967303.678471,584,143.0
1682967306.3761377,585,161.0
1682967308.924789,586,152.0
1682967311.839807,587,175.0
1682967315.8712246,588,242.0
1682967321.0521827,589,297.0
1682967323.6998491,590,159.0
1682967327.5310025,591,182.0
1682967332.6283398,592,300.0
1682967335.7932708,593,185.0
1682967344.2878733,594,462.0
1682967350.7350068,595,360.0
1682967354.1840296,596,174.0
1682967357.1646395,597,144.0
1682967360.3639505,598,159.0
1682967367.8251765,599,430.0
1682967370.408955,600,141.0
1682967385.8317435,601,142.0
1682967388.1637845,602,135.0
1682967390.6289713,603,146.0
1682967395.7928302,604,298.0
1682967397.7418427,605,117.0
1682967402.322431,606,270.0
1682967406.2369194,607,235.0
1682967411.017582,608,283.0
1682967416.4145627,609,324.0
1682967418.9628985,610,153.0
1682967421.7615592,611,168.0
1682967426.841988,612,298.0
1682967430.3734145,613,211.0
1682967436.3886042,614,346.0
1682967441.6508267,615,263.0
1682967449.3641398,616,283.0
1682967452.7285798,617,170.0
1682967455.444701,618,160.0
1682967457.978482,619,149.0
1682967461.3909986,620,169.0
1682967489.2270033,621,147.0
1682967493.71045,622,174.0
1682967497.4751756,623,161.0
1682967501.2061107,624,179.0
1682967504.4836886,625,150.0
1682967509.9954932,626,212.0
1682967514.2607882,627,243.0
1682967516.8598456,628,149.0
1682967521.8734925,629,225.0
1682967527.819837,630,277.0
1682967531.400327,631,184.0
1682967534.131854,632,147.0
1682967536.9804714,633,153.0
1682967542.7271976,634,343.0
1682967549.5399957,635,399.0
1682967552.0720344,636,138.0
1682967558.9848316,637,415.0
1682967561.4831288,638,150.0
1682967566.53061,639,302.0
1682967573.3601248,640,409.0
1682967588.7349906,641,133.0
1682967591.2169049,642,143.0
1682967595.1341152,643,183.0
1682967598.9630342,644,179.0
1682967601.7781897,645,150.0
1682967605.644132,646,188.0
1682967608.6743248,647,178.0
1682967611.122419,648,146.0
1682967613.2049477,649,125.0
1682967619.3678014,650,367.0
1682967624.5487034,651,311.0
1682967631.627981,652,422.0
1682967634.8095484,653,189.0
1682967635.559091,654,45.0
1682967638.390955,655,161.0
1682967641.5051384,656,173.0
