Training Episode,Accelerate (3),Straight (0),Brake (4),Left (1),Right (2)
406,0.446601927,0.029126214,0.087378643,0.262135923,0.174757287
407,0.038834952,0.368932039,0,0.368932039,0.223300964
408,0.057692308,0.298076928,0.07692308,0.317307681,0.25
409,0.423076928,0.25,0,0.298076928,0.028846154
410,0.25,0.115384616,0.009615385,0.509615362,0.115384616
411,0.028846154,0.673076928,0.057692308,0.211538464,0.028846154
412,0.076190479,0.314285725,0.142857149,0.45714286,0.00952381
413,0.476190478,0.057142857,0.047619049,0.371428579,0.047619049
414,0.13333334,0.257142872,0.057142857,0.400000006,0.152380958
415,0.057142857,0.647619069,0.00952381,0.123809524,0.161904767
416,0.377358496,0.235849053,0,0.330188692,0.056603774
417,0.452830195,0.094339624,0.113207549,0.283018857,0.056603774
418,0.452830195,0.018867925,0.066037737,0.396226406,0.066037737
419,0.688679218,0.028301887,0.018867925,0.254716992,0.009433962
420,0.607476652,0.186915889,0.018691588,0.149532706,0.037383176
421,0.457943916,0.102803737,0.065420561,0.261682242,0.112149529
422,0.214953274,0.112149529,0.448598117,0.186915889,0.037383176
423,0.205607474,0.093457945,0.205607474,0.34579438,0.149532706
424,0.296296299,0.055555556,0.222222224,0.277777791,0.148148149
425,0.462962955,0.194444448,0,0.32407406,0.018518519
426,0.333333343,0.185185179,0.009259259,0.444444448,0.027777778
427,0.194444448,0.518518507,0,0.175925925,0.111111112
428,0.174311921,0.504587173,0.009174312,0.192660555,0.119266056
429,0.174311921,0.293577969,0.165137619,0.192660555,0.174311921
430,0.275229365,0.04587156,0.146788985,0.211009175,0.32110092
431,0.467889905,0.100917429,0,0.183486238,0.247706428
432,0.527272701,0.090909094,0,0.145454541,0.236363634
433,0.07272727,0.081818178,0,0.418181807,0.427272737
434,0.272727281,0.218181819,0,0.227272734,0.281818181
435,0.181818187,0.372727275,0,0.218181819,0.227272734
436,0.720720708,0.072072074,0.009009009,0.054054055,0.144144148
437,0.891891897,0.081081077,0,0,0.027027028
438,0.771428585,0.057142857,0,0.028571429,0.142857149
439,0.722222209,0.027777778,0,0.027777778,0.222222224
440,0.75,0,0.027777778,0.027777778,0.194444448
441,0.294642866,0.3125,0,0.142857149,0.25
442,0.616071403,0.160714284,0.008928572,0.116071425,0.098214284
443,0.675324678,0.012987013,0.025974026,0.116883114,0.16883117
444,0.964285731,0,0,0.035714287,0
445,0.61038959,0.077922076,0.012987013,0.181818187,0.116883114
446,0.088495575,0.672566354,0.008849557,0.185840711,0.044247787
447,0.327433616,0.442477882,0.008849557,0.194690272,0.026548672
448,0.588235319,0.14705883,0,0.14705883,0.117647059
449,0.5,0.315789461,0.052631579,0.02631579,0.105263159
450,0.538461566,0.333333343,0,0.025641026,0.102564104
451,0.727272749,0.272727281,0,0,0
452,0.428571433,0.333333343,0,0.119047619,0.119047619
453,0.810810804,0.027027028,0,0.108108111,0.054054055
454,0.625,0.125,0.0625,0.15625,0.03125
455,0.260869563,0.034782607,0.11304348,0.521739125,0.069565214
456,0.396551728,0.232758626,0.12931034,0.215517238,0.02586207
457,0.666666687,0.055555556,0.055555556,0.194444448,0.027777778
458,0.724137902,0.02586207,0.034482758,0.198275864,0.017241379
459,0.465517253,0.02586207,0.00862069,0.482758611,0.017241379
460,0.410256416,0.085470088,0.025641026,0.350427359,0.128205135
461,0.495726496,0.042735044,0.102564104,0.341880351,0.017094018
462,0.47863248,0.213675216,0.008547009,0.264957279,0.034188036
463,0.247863248,0.07692308,0.452991456,0.15384616,0.068376072
464,0.228813559,0.169491529,0.27966103,0.228813559,0.093220338
465,0.211864412,0.330508471,0.110169493,0.254237294,0.093220338
466,0.313559324,0.118644066,0.025423728,0.474576265,0.06779661
467,0.406779647,0.177966103,0.016949153,0.305084735,0.093220338
468,0.092436977,0,0.016806724,0.49579832,0.394957989
469,0.126050428,0.008403362,0.025210084,0.521008432,0.319327742
470,0.445454538,0.090909094,0.009090909,0.227272734,0.227272734
471,0.193277314,0.546218514,0.033613447,0.117647059,0.109243698
472,0.375,0.016666668,0.008333334,0.425000012,0.174999997
473,0.216666669,0.025,0.008333334,0.300000012,0.449999988
